id	rmsd	centroid_dist	cys_sg_z	pass_7A
B4FVP3	4.4286	4.647	-2.027	1
B5BSX1	4.7268	2.083	-2.290	1
B5UAQ8	4.5501	5.348	2.079	1
B6SSF2	4.8110	2.742	1.942	1
B6SSW8	6.9856	5.418	-7.197	1
B6ST45	5.4646	4.177	2.786	1
B6SYA2	6.5840	4.136	6.459	1
B6U863	4.0189	3.143	-0.475	1
B8AJL3	5.0273	3.953	6.124	1
B8BJ22	4.9887	2.467	0.118	1
B9DFU2	7.2022	4.834	6.367	0
B9G934	7.7424	4.894	3.263	0
B9GBJ9	9.2391	4.954	-2.925	0
B9X287	5.5504	2.832	1.163	1
C0SJS2	5.2143	2.440	4.413	1
C0SJS3	4.9975	2.822	-1.189	1
D1MI46	5.0872	3.161	5.255	1
D2CGS0	4.7498	3.671	5.999	1
E1B2Z9	7.7725	2.532	5.656	0
E3W9C4	6.6567	4.042	-0.951	1
E9KBR8	4.6658	3.219	1.425	1
F4IK45	4.5847	9.509	0.495	1
F4JW83	6.4345	2.458	-0.521	1
F6H9N6	5.2149	3.076	-3.909	1
F8S1H3	5.2626	2.916	-3.272	1
F8S1H8	5.5559	2.992	5.432	1
G3GBK0	10.4195	1.828	-4.697	0
H1A981	7.4661	5.410	2.375	0
H1A988	7.5184	5.274	0.477	0
H2DH16	6.1770	3.862	0.983	1
H2DH17	5.4548	3.963	4.786	1
H2DH18	4.3014	4.497	5.121	1
H2DH20	5.7720	2.801	3.942	1
H2DH21	7.1215	3.116	5.119	0
H2DH22	8.0249	5.335	5.328	0
I1H7R8	4.9021	3.047	5.597	1
I1IUJ6	6.1424	3.895	-2.724	1
I1TEM1	5.3690	4.892	5.516	1
I3PFJ5	4.1116	3.921	3.356	1
I3PLR0	5.5054	6.488	4.304	1
I3PLR1	10.6088	8.783	0.143	0
I3QBP4	4.9858	3.531	-5.228	1
I3V6B7	5.4751	6.730	3.123	1
I7C6E8	4.2794	3.515	-2.889	1
I7CT85	4.7290	2.710	-6.460	1
K4CEE8	4.3971	3.837	-5.279	1
K4CI52	3.0939	3.802	4.905	1
K7NBR2	5.2225	5.444	4.039	1
L7T720	3.4997	4.543	5.271	1
L7T8H2	3.5130	4.053	5.303	1
L7X0L7	7.3601	4.338	2.850	0
L7X3S1	7.9674	5.626	5.995	0
M1AUM0	7.1753	2.370	5.175	0
M1CIZ9	6.4956	2.101	4.717	1
M1KVN4	3.7010	3.044	0.616	1
M1KXD0	4.5215	3.164	-2.881	1
O04164	4.9983	2.353	6.204	1
O22203	5.4667	3.503	2.788	1
O23066	4.2457	1.389	-5.484	1
O24312	4.8296	3.452	-0.237	1
O48786	7.6384	2.794	0.925	0
O48922	4.7176	1.992	2.850	1
O48956	4.6904	2.928	2.735	1
O48958	6.5696	5.300	2.454	1
O49340	4.7300	3.221	5.458	1
O49394	5.2186	3.332	1.082	1
O49396	4.7519	3.802	4.236	1
O64635	4.7701	1.690	1.125	1
O64636	4.8399	1.626	2.313	1
O64637	4.6922	1.956	2.238	1
O64638	4.1109	3.125	6.363	1
O64697	4.5047	2.529	-0.173	1
O64698	3.6294	3.397	-4.430	1
O64718	4.2874	2.509	4.825	1
O64899	7.7125	4.600	2.190	0
O65438	4.9291	3.363	5.652	1
O65782	4.8371	3.880	5.848	1
O65784	7.0027	2.890	6.001	0
O65785	5.1410	2.560	4.546	1
O65786	4.5353	5.444	-3.231	1
O65787	5.3248	3.520	5.942	1
O65788	4.8048	4.419	3.420	1
O65790	7.1785	1.253	1.935	0
O81117	7.0356	3.711	4.654	0
O81345	9.2501	5.535	-3.328	0
O81346	5.8811	4.694	2.018	1
O81928	5.4510	3.504	4.431	1
O81970	4.5680	2.946	6.260	1
P0DO35	4.1203	1.767	3.562	1
P0DO36	4.1314	4.177	4.436	1
P0DO40	4.0902	5.639	-1.164	1
P0DO41	4.0880	4.294	5.109	1
P24465	3.9127	3.084	5.088	1
P37114	5.0447	3.462	3.513	1
P37117	5.0992	4.112	4.252	1
P37118	4.6423	3.488	2.381	1
P48421	8.0255	2.742	2.757	0
P48522	5.8626	2.138	4.049	1
P58045	4.7592	3.827	5.708	1
P58046	7.0585	2.136	-3.204	0
P58047	4.3723	5.082	2.771	1
P58048	4.5678	2.672	0.744	1
P58049	5.1783	3.385	3.059	1
P58050	7.2013	1.905	5.402	0
P58051	5.1726	3.318	3.602	1
P92994	4.8309	3.381	3.182	1
P93149	5.2526	1.814	1.731	1
P93703	5.6641	5.810	5.948	1
P98183	4.3483	4.191	3.210	1
Q04468	5.8506	2.388	4.119	1
Q05JG2	4.9188	3.461	3.126	1
Q09J78	5.0431	3.829	4.528	1
Q0DBF4	5.8569	4.404	4.364	1
Q0DS59	5.7205	3.091	6.714	1
Q0JF01	4.4606	3.879	6.167	1
Q0JFI2	7.6251	5.074	3.781	0
Q0WQ07	5.6973	2.876	3.521	1
Q0WTF4	6.0705	2.796	-2.415	1
Q14T82	4.7503	10.357	-5.189	1
Q1PS23	5.8203	4.154	4.408	1
Q1T7C2	4.2643	1.786	4.586	1
Q2LA61	6.1568	2.865	1.093	1
Q2MJ19	7.1146	4.275	-1.663	0
Q2MJ20	4.2803	5.200	4.091	1
Q2MJ21	7.1256	3.671	0.109	0
Q2QUC5	4.9101	3.024	4.957	1
Q2QYH7	4.5712	3.425	5.466	1
Q33DX9	3.6801	3.470	0.759	1
Q33DY0	5.3604	4.218	-4.618	1
Q38Q84	5.2530	3.178	4.269	1
Q42600	4.6997	4.361	3.742	1
Q42602	4.5208	3.683	2.881	1
Q42716	7.7367	6.087	3.340	0
Q42797	5.1021	2.664	-3.814	1
Q43033	4.0747	2.772	2.145	1
Q43054	4.8529	3.552	-0.692	1
Q43067	4.8125	3.905	2.766	1
Q43135	6.9923	3.450	5.974	1
Q43240	5.8493	3.576	3.084	1
Q43246	4.8880	5.133	3.898	1
Q43250	7.8535	5.221	2.432	0
Q43255	7.8808	4.314	3.931	0
Q43257	5.3446	3.682	5.160	1
Q50EK0	4.9492	2.672	5.002	1
Q50EK1	4.8328	3.414	5.137	1
Q50EK3	4.3468	2.235	-1.968	1
Q50EK4	6.6317	3.978	5.286	1
Q50EK5	5.7159	3.335	5.531	1
Q50EK6	5.4048	3.390	6.074	1
Q50LE0	5.9388	5.990	2.545	1
Q50LH3	5.3925	4.656	3.388	1
Q50LH4	5.3756	4.511	5.066	1
Q5CCK1	4.4015	2.541	-0.324	1
Q5KQH7	9.5509	1.190	-3.617	0
Q5VRI5	5.6025	3.475	3.748	1
Q5Z5R4	7.5629	3.986	5.617	0
Q5Z5R7	4.6411	5.377	-5.994	1
Q5Z5S6	3.9988	4.127	5.624	1
Q69X58	4.6686	3.252	2.751	1
Q69XM6	6.6774	6.331	3.917	1
Q6F4F5	4.9408	6.642	0.418	1
Q6J540	8.9194	3.974	-5.721	0
Q6NKZ8	6.2573	4.910	2.362	1
Q6WKY9	4.3566	4.649	4.218	1
Q6WKZ0	5.0316	5.560	-3.260	1
Q6WKZ1	4.4508	4.057	5.246	1
Q6WNQ8	4.7550	4.345	2.774	1
Q6WNQ9	3.3885	2.305	1.735	1
Q6WNR0	4.7833	4.594	1.339	1
Q6XQ14	8.2248	4.000	5.615	0
Q6YTF1	4.7925	1.479	1.913	1
Q6YTF5	5.4267	3.835	3.443	1
Q6YV88	3.6405	4.198	5.290	1
Q6Z5I7	5.5115	3.427	3.246	1
Q6Z6D6	6.4066	5.149	3.681	1
Q7EZR4	6.6501	3.098	6.618	1
Q7G602	5.7270	4.238	3.340	1
Q7X7X4	8.2191	5.093	5.703	0
Q7XHW5	8.7591	4.419	1.658	0
Q7XU38	5.8537	9.782	4.498	1
Q7Y1V5	5.5843	4.997	5.642	1
Q8GSQ1	5.3269	2.189	4.157	1
Q8L7D5	5.0254	4.481	4.678	1
Q8LIF2	7.7798	3.856	2.802	0
Q8LM92	5.7055	3.493	3.509	1
Q8VWZ7	3.8111	2.293	1.239	1
Q93Z79	5.5948	3.874	5.780	1
Q940V4	5.0584	3.571	5.152	1
Q948Y1	3.7689	4.557	5.892	1
Q949P1	3.3670	3.239	-3.566	1
Q949U1	5.7215	3.758	-3.765	1
Q94FM7	4.8956	3.226	5.628	1
Q94IA6	4.5596	6.671	-0.391	1
Q94IP1	4.6542	3.039	5.130	1
Q96423	4.8340	3.506	-0.520	1
Q96514	6.6303	2.938	4.698	1
Q9AR74	4.9027	2.939	0.708	1
Q9ASR3	6.4939	1.879	7.662	1
Q9CA60	5.5845	3.218	4.883	1
Q9CA61	5.5263	3.500	4.852	1
Q9CAD6	4.8648	1.768	7.372	1
Q9FF18	6.5489	5.011	5.285	1
Q9FG65	4.4834	3.550	-3.849	1
Q9FH66	7.7553	3.759	-2.055	0
Q9FH67	4.2007	2.618	3.681	1
Q9FH76	3.1997	4.234	-1.721	1
Q9FI39	7.3368	3.653	0.284	0
Q9FIB0	8.9453	4.433	-3.246	0
Q9FLC8	6.3433	2.259	0.703	1
Q9FUY7	7.2441	4.237	-4.274	0
Q9FXW4	4.8039	2.614	5.599	1
Q9LHA1	6.1468	3.309	0.112	1
Q9LIP3	4.2032	2.566	2.089	1
Q9LIP4	4.1317	2.321	1.754	1
Q9LIP5	4.8183	1.913	2.000	1
Q9LIP6	4.0732	2.445	1.513	1
Q9LJK2	6.2008	3.152	3.347	1
Q9LJY5	7.9813	2.859	1.110	0
Q9LJY7	4.2528	4.879	-7.103	1
Q9LMM1	4.1107	0.571	-2.887	1
Q9LMX7	7.3399	4.350	4.812	0
Q9LSF8	6.1650	2.804	1.655	1
Q9LTL0	4.0043	2.292	0.919	1
Q9LTL2	5.0063	2.916	2.369	1
Q9LTL8	4.6394	2.386	3.593	1
Q9LTM0	4.9555	2.665	5.614	1
Q9LTM1	7.1624	2.157	5.234	0
Q9LTM2	7.1247	2.595	6.126	0
Q9LTM3	5.0673	2.687	0.531	1
Q9LTM4	5.0798	2.355	0.394	1
Q9LTM6	4.9738	2.455	5.077	1
Q9LTM7	4.2621	3.192	3.695	1
Q9LUC5	7.1188	3.556	5.595	0
Q9LUC6	7.0805	4.040	4.487	0
Q9LUC8	7.0916	2.563	-2.011	0
Q9LUC9	8.6736	5.862	3.073	0
Q9LVD2	4.6984	1.919	-2.251	1
Q9LVD6	6.6937	3.135	5.184	1
Q9LVY7	4.8696	3.488	0.508	1
Q9LXM3	7.2124	2.432	5.662	0
Q9LZ31	6.3280	3.591	5.383	1
Q9M066	5.3993	3.481	6.061	1
Q9M7B7	8.8646	6.490	-3.853	0
Q9SAA9	4.7636	4.831	-4.031	1
Q9SAB6	4.2681	2.085	0.750	1
Q9SAE3	7.2155	3.276	4.442	0
Q9SAE4	4.9800	2.925	3.637	1
Q9SBQ9	4.3976	3.950	4.080	1
Q9SCN2	4.2381	2.776	-0.291	1
Q9SD85	4.8265	3.890	6.170	1
Q9SHG5	7.1350	1.973	-3.647	0
Q9SLP1	8.9485	4.635	3.344	0
Q9SMP5	4.4554	3.049	0.797	1
Q9SRQ1	5.5549	4.504	1.008	1
Q9STK7	9.3280	2.865	-0.267	0
Q9STK8	4.8577	4.158	2.047	1
Q9STK9	4.3409	2.751	4.672	1
Q9STL0	4.9290	3.645	5.286	1
Q9STL1	6.8537	2.981	5.280	1
Q9STL2	6.9710	3.267	5.007	1
Q9SXS3	5.4392	4.015	2.864	1
Q9SZ46	4.0587	2.120	3.571	1
Q9SZU1	4.0355	2.350	1.843	1
Q9T093	7.6526	3.356	5.453	0
Q9T0K0	5.3978	3.300	5.874	1
Q9T0K2	6.8346	3.714	5.155	1
Q9XGT9	5.0277	2.324	-2.177	1
Q9XHC6	4.8029	4.420	2.828	1
Q9XHE6	4.3038	2.761	-1.384	1
Q9XHE7	5.0828	5.972	-1.179	1
Q9ZNR0	5.7332	3.552	6.803	1
Q9ZU07	5.1565	3.128	3.693	1
Q9ZV28	3.8389	2.717	4.452	1
Q9ZV29	3.8004	2.712	4.062	1
Q9ZW95	10.8664	1.977	-2.409	0
S4UX02	5.0170	2.477	4.788	1
U5HKE8	6.0805	3.256	4.029	1
W0FKI0	4.6594	1.508	1.731	1
W8JDE2	6.8573	6.575	-0.136	1
X2EW55	4.9080	4.041	5.648	1
X2JE85	7.6399	3.302	4.389	0
